date,volume,low,close,open,high
2023-04-04,268824567.72,12.88,12.98,13.42,13.44
2023-04-03,156326913.87,13.21,13.42,13.36,13.54
2023-03-31,222864377.88,13.05,13.40,13.10,13.46
2023-03-30,104295580.51,12.91,13.08,13.04,13.12
2023-03-29,158744003.24,13.00,13.02,13.15,13.27
2023-03-28,158092085.29,13.04,13.07,13.21,13.30
2023-03-27,159138958.39,13.06,13.30,13.15,13.42
2023-03-24,358656861.30,13.04,13.18,13.52,13.53
2023-03-23,259170578.24,13.42,13.52,13.79,13.81
2023-03-22,178578841.92,13.69,13.78,13.83,14.06
2023-03-21,286495030.67,13.40,13.80,13.80,13.87
2023-03-20,394451273.21,13.13,13.76,13.30,13.99
2023-03-17,185817203.44,13.05,13.23,13.07,13.35
2023-03-16,334540329.91,12.86,12.96,13.56,13.56
2023-03-15,204818718.60,13.60,13.68,14.04,14.15
2023-03-14,208858710.35,13.63,13.98,13.82,14.10
2023-03-13,141191253.69,13.61,13.81,13.70,13.92
2023-03-10,308572009.04,13.62,13.77,14.30,14.30
2023-03-09,214321128.60,14.27,14.36,14.75,14.83
2023-03-08,182668878.20,14.57,14.70,15.00,15.00
2023-03-07,199981228.34,14.95,15.02,15.53,15.57
2023-03-06,325006147.96,14.87,15.51,14.98,15.58
2023-03-03,160064703.02,14.79,14.98,15.06,15.10
2023-03-02,160683924.14,14.93,15.03,15.17,15.31
2023-03-01,142574124.02,15.01,15.15,15.16,15.20
2023-02-28,91732450.02,14.95,15.16,14.96,15.18
2023-02-27,177383030.83,14.88,14.92,15.36,15.39
2023-02-24,66130953.23,15.25,15.40,15.42,15.44
2023-02-23,153637395.26,15.25,15.40,15.60,15.61
2023-02-22,109079909.53,15.45,15.55,15.75,15.75
2023-02-21,171456588.22,15.36,15.76,15.51,15.76
2023-02-20,152426539.26,15.16,15.40,15.35,15.43
2023-02-17,151413491.86,15.33,15.35,15.59,15.73
2023-02-16,201084161.28,15.48,15.58,16.15,16.24
2023-02-15,245491558.74,16.08,16.17,16.86,16.94
2023-02-14,158418606.93,16.69,16.81,16.84,17.05
2023-02-13,205411889.66,16.44,16.84,16.56,16.98
2023-02-10,156490569.32,16.39,16.54,16.83,16.88
2023-02-09,139379555.04,16.72,16.90,16.99,17.00
2023-02-08,195237205.06,16.77,16.81,17.21,17.35
2023-02-07,242200082.30,16.59,17.20,16.83,17.25
2023-02-06,276383058.81,16.48,16.68,17.17,17.19
2023-02-03,245122448.35,16.85,17.36,17.24,17.56
2023-02-02,290658875.80,17.08,17.25,17.27,17.58
2023-02-01,396714684.03,16.35,17.24,16.50,17.49
2023-01-31,151391297.84,16.31,16.40,16.36,16.60
2023-01-30,218592932.56,16.36,16.52,16.49,16.83
2023-01-20,202443827.58,15.79,16.25,15.79,16.27
2023-01-19,155049707.93,15.52,15.69,15.90,15.93
2023-01-18,214596074.63,15.36,15.96,15.45,16.15
2023-01-17,105150663.80,15.23,15.38,15.51,15.58
2023-01-16,131107917.44,15.34,15.51,15.45,15.70
2023-01-13,173512035.00,15.14,15.46,15.78,15.80
2023-01-12,107218327.90,15.55,15.68,15.62,15.97
2023-01-11,233916867.98,15.48,15.60,15.96,16.03
2023-01-10,120890242.99,15.85,15.98,16.30,16.35
2023-01-09,173334219.57,16.11,16.30,16.21,16.67
2023-01-06,136069500.57,15.82,16.14,15.85,16.32
2023-01-05,106574995.67,15.69,15.97,15.79,16.14
2023-01-04,117180173.90,15.71,15.79,16.44,16.46
2023-01-04,117180173.90,15.71,15.79,16.44,16.46
2023-01-03,184613698.96,15.61,16.38,15.76,16.47
2022-12-30,97509851.42,15.78,15.84,16.07,16.35
2022-12-29,141120375.86,15.82,16.05,16.46,16.48
2022-12-28,175233402.03,16.16,16.46,16.38,16.58
2022-12-27,294251377.74,15.08,16.38,15.10,16.50
2022-12-26,113841049.08,14.47,15.04,14.50,15.18
2022-12-23,50468185.55,14.41,14.54,14.60,14.69
2022-12-22,80688851.53,14.56,14.60,15.01,15.01
2022-12-21,87231342.89,14.70,14.86,15.24,15.31
2022-12-20,91995938.28,15.01,15.12,15.40,15.45
2022-12-19,118231481.92,15.20,15.39,15.24,15.67
2022-12-16,118943884.58,15.08,15.27,15.45,15.58
2022-12-15,89118555.15,15.39,15.60,15.52,15.68
2022-12-14,119704986.59,15.42,15.56,15.69,15.91
2022-12-13,143953192.65,15.50,15.69,16.03,16.25
2022-12-12,129965882.58,15.50,15.83,16.07,16.08
2022-12-09,163074829.06,15.76,16.08,16.21,16.38
2022-12-08,151725815.30,16.12,16.20,16.31,16.70
